"","intentie","opl.niveau","attitudes","pcg","psn","leeftijd","geslacht"
"392",0,3,6,4.25,3,26,0
"393",0,3,4.66666666666667,5.75,3,26,1
"394",1,3,6.5,6.25,7,52,1
"395",0,2,6.16666666666667,6.25,4,43,1
"396",0,3,6,5.75,3,29,1
"397",0,2,5,4.75,1,57,1
"398",0,1,4.33333333333333,4.75,2.33333333333333,56,0
"399",1,2,5,6.5,5,54,1
"400",1,2,6.16666666666667,6.5,5.33333333333333,25,0
"401",1,3,7,6,7,25,1
"402",0,2,6,5.25,1,51,0
"403",0,1,4.83333333333333,4.5,5,27,0
"404",0,1,4.83333333333333,5,3.33333333333333,25,0
"405",1,2,5.66666666666667,5,4,25,1
"406",1,3,6.66666666666667,6.75,4,55,1
"407",0,3,6.66666666666667,6.25,4.66666666666667,55,1
"408",0,2,2.5,6.25,3,61,0
"409",0,1,4.16666666666667,5.5,5,47,0
"410",0,3,4.66666666666667,5,NA,27,1
"411",1,3,5.83333333333333,3.25,4,31,1
"412",1,1,6,5.5,4.66666666666667,37,1
"413",0,1,6.16666666666667,4.75,3,55,0
"414",1,3,6.5,5.5,5.66666666666667,53,1
"415",0,1,5.83333333333333,5.5,4,28,0
"416",1,1,5.33333333333333,5.5,6.33333333333333,26,0
"417",1,3,6.16666666666667,5.5,6,60,0
"418",0,1,4.5,4,3.33333333333333,54,0
"419",1,3,6.33333333333333,6.5,3.66666666666667,42,0
"420",1,1,6.83333333333333,5.75,4,53,0
"421",0,1,4.33333333333333,4.25,3,49,1
"422",1,3,6.66666666666667,5.75,2.66666666666667,59,0
"423",0,3,6.16666666666667,5,3.66666666666667,35,1
"424",0,1,4,4,4,49,1
"425",0,3,6,4.75,4,58,1
"426",0,3,6,4.75,6.33333333333333,42,1
"427",1,1,5.5,6,4.66666666666667,55,1
"428",0,1,4.33333333333333,1.75,5.66666666666667,55,1
"429",0,1,4,2.75,1,62,0
"430",1,2,5,6.5,4,31,0
"431",0,2,4,5.75,1,56,0
"432",0,1,5.5,5.5,1,55,0
"433",0,2,6.5,3,1,51,1
"434",0,1,5.83333333333333,3,5.33333333333333,48,1
"435",0,2,5.5,5,4,31,1
"436",0,1,4,5.5,3.33333333333333,52,0
"437",0,1,5.16666666666667,3.25,4,54,0
"438",0,3,5,2.5,4.33333333333333,52,1
"439",0,2,4.5,5,2.33333333333333,52,1
"440",0,3,6.5,4.5,NA,52,1
"441",1,3,6.33333333333333,6.25,6.33333333333333,25,1
"442",0,2,4,4.5,2,31,1
"443",0,3,6.33333333333333,5.25,5.33333333333333,39,0
"444",0,2,6.83333333333333,5.75,4,52,0
"445",1,3,6.83333333333333,6.75,4,30,1
"446",0,1,4,6.25,1,53,0
"447",1,3,4.83333333333333,4.25,4,52,1
"448",0,1,4,5,1.5,39,1
"449",0,1,5,4,NA,56,1
"450",0,3,5,5.5,4,51,1
"451",0,3,6.83333333333333,6.75,3.33333333333333,49,0
"452",0,1,6,4.25,4,56,1
"453",1,3,5.83333333333333,5.25,5.66666666666667,40,1
"454",0,1,3.83333333333333,4.25,2,21,1
"455",1,3,4.66666666666667,5.75,4,28,1
"456",1,3,7,6,7,50,0
"457",0,1,6.33333333333333,5.5,3.33333333333333,33,1
"458",0,1,6,5.75,4.33333333333333,43,1
"459",0,3,5.33333333333333,5,4.5,35,1
"460",0,1,4.5,4,NA,57,1
"461",0,2,3.66666666666667,5,1,29,1
"462",0,2,5,4,NA,28,1
"463",0,1,3.5,5.5,7,37,0
"464",1,3,6.66666666666667,6,5,50,1
"465",0,3,5.33333333333333,5.5,2.66666666666667,50,0
"466",0,1,4.5,6.25,3,25,0
"467",0,1,4.5,5.25,2.66666666666667,36,1
"468",0,3,6,5.75,4,52,1
"469",0,2,5.5,3.75,4.66666666666667,42,1
"470",1,1,5.16666666666667,5.75,5,51,0
"471",0,3,5.16666666666667,5.75,3,37,NA
"472",0,3,6,5.25,3.33333333333333,52,0
"473",0,2,3.83333333333333,4.25,4,41,1
"474",1,2,6.16666666666667,4.75,5,49,1
"475",0,2,5.33333333333333,5.75,3,52,1
"476",1,3,7,7,7,34,0
"477",1,2,3.83333333333333,4.5,4,50,1
"478",1,1,6.83333333333333,6,1,33,1
"479",0,1,3.33333333333333,4.25,3.33333333333333,31,1
"480",1,3,6.66666666666667,6.25,4,38,1
"481",0,3,4.66666666666667,5.25,NA,50,1
"482",0,2,4.66666666666667,5.25,1.66666666666667,51,0
"483",0,1,4,4,4,55,1
"484",1,2,5.5,6.25,4,35,1
"485",0,1,4,1,1,65,0
"486",1,1,7,7,4,58,0
"487",0,2,5.5,4.25,3.33333333333333,26,0
"488",1,3,5.83333333333333,5,6,38,0
"489",1,3,6,6.25,6,30,0
"490",1,3,5.5,4.5,4,26,1
"491",0,2,5,4.75,5,27,1
"492",0,1,4,5.5,4,65,1
"493",0,1,1,1,NA,25,0
"494",0,1,3.5,6,1,45,0
"495",1,3,6.33333333333333,6.25,4,31,1
"496",1,3,6.83333333333333,5.25,5.33333333333333,25,1
"497",1,3,6.66666666666667,5.75,3.33333333333333,26,1
"498",0,1,5.33333333333333,5.5,3,36,1
"499",0,3,5.5,6,5.33333333333333,36,1
"500",0,3,4.83333333333333,6,3,25,1
"501",0,2,6,4,3.33333333333333,25,1
"502",0,3,4.83333333333333,4.25,3.66666666666667,42,0
"503",0,1,4.66666666666667,5.75,1.66666666666667,46,1
"504",0,1,3.83333333333333,4.5,2.66666666666667,38,0
"505",1,3,6.66666666666667,6,5,26,1
"506",1,3,6.16666666666667,4.5,5.66666666666667,33,1
"507",1,2,6.83333333333333,7,6,53,0
"508",1,2,4,4.5,4,50,0
"509",0,3,5.5,5.5,6,27,0
"510",1,1,6,6,2.33333333333333,47,0
"511",0,3,5.66666666666667,5.75,3.66666666666667,25,1
"512",1,3,7,6.5,5.66666666666667,51,1
"513",0,2,4,4.25,4,33,0
"514",0,2,5.83333333333333,6.25,4,33,1
"515",1,2,7,7,1.33333333333333,54,0
"516",0,3,6,6,5.33333333333333,34,1
"517",1,1,4.16666666666667,5.25,4.66666666666667,27,0
"518",0,2,7,6.25,2,36,0
"519",0,1,3.33333333333333,2.75,1.33333333333333,36,0
"520",0,1,4,3.25,1,33,1
"521",0,1,4.66666666666667,3.25,3.33333333333333,56,1
"522",0,1,3.66666666666667,5.25,1,54,1
"523",1,1,4.5,4,4,36,1
"524",1,3,5,4.25,3.66666666666667,43,0
"525",0,3,5.66666666666667,5.5,NA,50,0
"526",1,1,5,6.25,2.66666666666667,53,1
"527",1,3,6,5.25,5.33333333333333,23,1
"528",0,1,5,2.75,3.33333333333333,35,0
"529",0,3,5.16666666666667,3.5,2.5,50,1
"530",1,3,5,6,3.66666666666667,36,0
"531",0,1,2.66666666666667,3.75,2.33333333333333,38,0
"532",0,1,5.16666666666667,4.5,4,62,1
"533",1,1,4.16666666666667,2.75,3.66666666666667,30,1
"534",1,3,5.16666666666667,5,3,53,1
"535",1,3,5.83333333333333,5.25,5.33333333333333,25,1
"536",1,1,6,6,6,25,1
"537",1,3,7,6.25,5.33333333333333,57,1
"538",0,2,1.66666666666667,3.75,2,26,0
