"","date","age","gender","comorbidity","comorbidity.N_Y","edu.cat","edu","vaccination_intention","vaccin_campaign","vaccin_encouragement","risk_probability_self","risk_consequence_self","risk_self","risk_probability_other","risk_consequence_other","risk_other","worries_relatives","worries_health","motv_vaccin_ident_2","motv_vaccin_ident_3","motv_vaccin_ident_4","motv_vaccin_exter_1","motv_vaccin_exter_2","motv_vaccin_exter_3","motv_vaccin_distrust_1","motv_vaccin_distrust_4","motv_vaccin_distrust_5","motv_vaccin_effort_1","motv_vaccin_effort_2","motv_vaccin_effort_3","gender.M_F"
"8126","2020-12-09",27,"Male","No",0,"Master",7,1,1,1,1,2,1.16666666666667,3,3,2.33333333333333,4,1,1,3,5,5,4,4,5,4,5,1,2,2,0
"8127","2020-12-09",20,"Female","No",0,"Bachelor university",6,5,5,5,1,5,1.66666666666667,3,4,2.83333333333333,5,1,5,5,5,1,5,4,2,3,4,2,1,1,1
"8128","2020-12-10",39,"Male","Yes",1,"Master",7,3,4,5,3,4,2.83333333333333,4,4,3.5,4,4,4,5,5,2,4,3,4,2,4,1,1,1,0
"8129","2020-12-10",38,"Male","No",0,"Master",7,2,2,1,3,2,1.83333333333333,3,3,2.33333333333333,3,1,2,2,3,1,2,1,5,4,5,1,2,3,0
"8130","2020-12-09",56,"Female","No",0,"Bachelor technical",5,4,3,4,4,4,3.5,4,4,3.5,3,4,4,4,4,3,4,4,4,3,2,1,1,3,1
"8131","2020-12-10",58,"Female","No",0,"Bachelor university",6,1,2,3,2,3,1.83333333333333,4,4,3.5,3,3,4,4,4,1,1,2,5,2,2,1,1,1,1
"8132","2020-12-09",45,"Male","No",0,"Master",7,3,4,4,3,2,1.83333333333333,4,3,2.83333333333333,4,3,4,4,3,4,4,4,3,3,4,2,3,2,0
"8133","2020-12-10",53,"Female","No",0,"Master",7,5,5,5,2,3,1.83333333333333,4,4,3.5,5,5,5,5,5,3,4,3,2,1,1,1,1,3,1
"8134","2020-12-09",33,"Female","No",0,"Master",7,4,4,3,3,3,2.33333333333333,4,4,3.5,5,5,4,4,4,3,1,3,4,2,3,1,3,1,1
"8135","2020-12-10",73,"Female","Yes",1,"Bachelor technical",5,4,5,4,1,5,1.66666666666667,5,5,5,5,4,5,5,5,4,4,1,4,2,1,1,1,1,1
"8136","2020-12-09",41,"Male","No",0,"Secundary superior",4,5,2,5,2,1,1.16666666666667,3,4,2.83333333333333,4,4,5,5,5,1,1,1,3,1,1,1,1,1,0
"8137","2020-12-09",24,"Male","No",0,"Secundary inferior",3,3,5,5,3,2,1.83333333333333,4,4,3.5,4,4,4,4,4,2,2,2,4,4,3,1,1,2,0
"8138","2020-12-09",52,"Female","No",0,"Secundary superior",4,2,3,3,1,2,1.16666666666667,3,4,2.83333333333333,5,1,3,3,4,1,3,3,4,3,3,3,3,1,1
"8139","2020-12-09",56,"Male","No",0,"Master",7,5,5,5,2,4,2.16666666666667,4,4,3.5,5,4,5,5,5,3,3,3,2,1,1,1,1,1,0
"8140","2020-12-09",55,"Female","No",0,"Master",7,5,4,5,4,3,2.83333333333333,3,2,1.83333333333333,4,2,5,5,4,1,1,1,2,2,1,1,1,1,1
